app_id,app_name,source,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,idea_9,idea_10
com.google.android.youtube,YouTube,SOURCE3,"This feature divides how-to videos into steps, allows looping and speed control, displays a transparent overlay using the front camera, and saves your progress.",This feature allows you to share video suggestions with small groups using a brief note and a rating. It adds a “From your friends” section and an “Ask my circle” button on search and video pages.,"This feature displays weather forecasts and time details for locations mentioned in videos, synced with the video timeline, and allows users to save places to a trip list for export.","This feature separates speech from background sounds, adjusts audio levels, syncs subtitle highlights with speech, and allows long-press controls to increase speech or lower background noise.","This feature allows you to filter videos by channel, keyword, duration, language, region, topic, and date, save and share filters, and temporarily pause topics.","This feature allows creators to attach files such as PDFs, slides, code, or spreadsheets to specific video timestamps, enabling users to view, download, and switch between them and the video.","This feature displays nearby creators, events, and meetups on a map with distance filters and safety settings. Users can RSVP or set reminders for live sessions.","This feature displays real-time safety and weather alerts on live streams with location tags, offering viewers and streamers information about evacuation routes and shelters.","This feature automatically downloads audio-only files from selected channels or playlists on Wi-Fi, adds AI-generated chapter titles and text summaries, and allows offline access within a daily limit.","This feature displays comment credibility based on topic reputation and helpfulness, lets creators require verified identities for commenters, and allows adding timestamped evidence for visibility badges."
com.google.android.youtube,YouTube,SOURCE4,"This feature allows creators to upload multiple video scenes with choice points, letting viewers select different paths and providing creators with branch-specific data and optional member-only endings.","This feature lets you tap objects in a paused video to identify them, access related moments, or open links using on-device data or creator tags.","This feature allows users to record their camera and voice reactions linked to specific video times, overlay them on the video, and lets creators manage and monetize these overlays.","This feature lets friends watch videos together with a shared queue, synchronized playback, voice chat, and emoji reactions on mobile, TV, and desktop devices.","This feature organizes playlists into learning paths with quizzes, practice sections, review sessions, and progress tracking, allowing creators to award completions and receive payments.","This feature allows viewers to skip or collapse marked sponsor segments, supports creators with small payments from a shared fund, and provides sponsor cards for later viewing.",This feature allows you to search your watch history using voice or text with general descriptions and shows exact timestamps with preview clips to jump to.,"This feature tests various video intros, titles, and thumbnails during the first 5–15 seconds, automatically choosing the best option and displaying tap-level drop-off heatmaps.","This feature changes playback speed by slowing down during on-screen actions and speeding up during pauses or repeated narration, with settings for each channel or video.","This feature syncs videos from multiple creators at the same event, letting viewers switch angles or use picture-in-picture, while tracking watch time for revenue sharing."
com.instagram.android,Instagram,SOURCE3,"This feature offers a private space with AI prompts, trace overlays, and short lessons for drawing, lettering, and logos, where friends can leave timed private annotations.","This feature improves audio by making dialogue clearer, lowering background noise, and adjusting sound after a hearing check. It also adds captions, vibration alerts, and voice volume controls.","This feature allows users to write short reviews for accounts they follow and provides a feed of recommended accounts based on friends’ activity, with follow or mute options.","This feature lets users post short video or text reviews on tagged products and places, which are organized on a Reviews tab and displayed on a map with spam filtering.","This feature allows users to browse nearby creators for collaborations, events, or study groups, with options for profile verification, distance limits, intent tags, messaging, and scheduling.","This feature lets users view a creator’s subscriber-only posts, live videos, and chats for a limited time set by the creator.","This feature displays temporary photos, Reels, and event updates from nearby users. Hosts can manage their content, and viewers can adjust visibility and safety settings.","This feature lets users download posts, Reels, and music to a secure cache for offline access, sync offline likes and saves, and manages storage space.","This feature displays a numeric code in Stories or Live that viewers can enter or tap to make donations, tips, or purchases, with payments processed inside the app.","This feature displays weather forecasts on the map and scheduler, suggests times for shooting, adds weather badges to outdoor posts, and sends alerts with safety tips and local updates."
com.instagram.android,Instagram,SOURCE4,"This feature lets creators add alternate clips at certain points in Reels, allowing viewers to tap and choose different story paths to watch multiple outcomes.","This feature automatically translates and dubs Reels and Lives into different languages in near real time, syncing lips and voice, and displays captions and audio in the chosen language.","This feature lets multiple users record the same event at the same time from different phones, then syncs their videos into one timeline for viewing and editing.","This feature creates temporary shared albums based on location for events, allowing attendees to add Stories or Reels with permission. It summarizes content and deletes the album afterward.",This feature allows users to control their appearance in photos or videos by requiring approval or blurring before content with them is shared publicly.,This feature allows users to choose topic filters and mood sliders to change the content shown in their Explore and Reels feeds and search results right away.,"This feature lets users long-press items in Reels or Stories to view visually similar products with price ranges, sustainability details, and exact matches when available.","This feature allows creators to add additional content like credits, sources, settings, or behind-the-scenes clips that fans can view after meeting specific conditions.","This feature summarizes comments, identifies repeated questions, provides one-tap reply suggestions, and allows users to create Stories or Reels displaying the original comment.","This feature publishes scheduled posts in stages according to each follower’s local active times, offers analytics for each stage, and keeps likes and comments combined."
com.netflix.mediaclient,Netflix,SOURCE3,"This feature pauses scenes to show filmmaking explanations, lets users earn skill badges, and allows saving annotated clips for later viewing or sharing.","This feature adjusts audio according to your hearing profile and earbuds, enhancing speech clarity and reducing loud sounds, with settings that vary for each title.","This feature creates and downloads a playlist based on your travel time, internet availability, and destinations. It can access your calendar and update titles for offline use.","This feature allows users to find nearby people for synchronized watch parties online or in public, using optional profiles with verification and moderation.","This feature lets users label reviews with tone, pacing, and content warnings, provides spoiler-free summaries of opinions, and enables following reviewers with similar tastes.","This feature allows users to filter recommendations by length, mood, intensity, and content warnings, skip scenes with specific tags, and set or lock filters for each profile.","This feature tracks weather alerts, automatically downloads selected shows using minimal battery, pauses large downloads on weak networks, and resumes them when the connection improves.","This feature allows users to select extra audio tracks, such as director commentaries, critic explanations, or community recordings, that play synchronized information during episodes.","This feature lets users order snacks from local partners for delivery timed with the show start, supports one-tap reordering, group orders, and contactless drop-off.","This feature provides audio-only playback with scene descriptions, enables downloading small files for offline use, and offers a Car Mode with large controls, voice search, and kid-safe queues."
com.netflix.mediaclient,Netflix,SOURCE4,"This feature automatically creates and downloads video bundles matching your available 15, 30, or 60-minute time slots, then deletes them after you finish watching.","This feature allows users to search for scenes by quotes, lyrics, props, or locations and jump directly to the exact moment using timecodes and thumbnails.","This feature hides thumbnails, cast updates, and descriptions beyond your current progress in the app and shared links, showing content only up to your latest watched episode.","This feature offers a 3–5 minute summary of previous seasons based on characters and storylines you have followed, with options for detailed or brief versions before a new episode.","This feature allows your phone to display synced information such as cast, music, locations, and trivia for each scene when pointed at your TV, using pre-downloaded data offline.","This feature allows users to long-press to capture a 5–20 second clip with captions and a link to the specific moment, which can be shared and viewed by others.","This feature allows users to create a room, invite friends, suggest shows based on shared preferences and restrictions, propose times, and start a watch party immediately.","This feature displays two subtitles on mobile, lets users tap words to translate and hear pronunciation, creates vocabulary lists from watched content, and connects review cards to scenes.","This feature allows you to set a desired episode length by skipping recaps, removing sections, and changing playback speed, with all adjustments reversible and indicated.","This feature blurs mature thumbnails, hides suggestive images, mutes autoplay trailers, and changes notifications to vibrations for discreet Netflix use in public."
com.google.android.apps.docs.editors.docs,Google Docs,SOURCE3,"This feature offers brief writing exercises based on your previous documents, tracks your progress with skill badges, and highlights areas where you can improve.","This feature simplifies long sentences, adjusts contrast and spacing, highlights unclear parts, and offers an audio readout to help with reading and reviewing documents.","This feature allows you to select a document type, add sections such as FAQs or charts, set word counts for each part, and generate a customizable outline before writing.","This feature allows you to schedule review rounds, assign document sections to individuals, monitor response times, and recommend frequent reviewers from your contacts.","This feature lets users send and receive Kudos for comments, edits, and accepted suggestions, tracked by AI and author approval, which can be shared or used for benefits.","This feature offers timed writing sessions that monitor focused time, set section goals, track daily streaks, and enable teams to combine points for shared rewards or donations.","This feature allows you to use a premium tool for 24 hours on a copy of your document without signing up, adds a watermark, and supports easy undo.","This feature lets you search for co-authors, reviewers, or experts by topic, institution, or location using verified profiles with privacy controls.","This feature creates a Review Card from a selected section to request specific feedback, collect responses, gather helpfulness ratings, and generate AI-based summaries.","This feature identifies phone numbers, addresses, dates, and IBANs in a document and converts them into clickable links for calling, mapping, or calendar actions."
com.google.android.apps.docs.editors.docs,Google Docs,SOURCE4,This feature allows you to tag paragraphs or images with audience labels and share a document that displays content according to the viewer’s assigned label.,"This feature lets phones connect using Bluetooth or Wi-Fi Direct without internet, share changes, and later sync updates to the cloud with conflict notifications.","This feature lets you press and hold to add a voice note linked to specific text, transcribes it automatically, syncs playback with highlighted text, and supports voice replies.","This feature shows a timeline with color-coded markers indicating where edits were made. Users can navigate through time to view, copy, or restore specific sentences.","This feature detects personal information, legal names, IDs, and secrets, enabling users to remove or hide this sensitive data for certain viewers.","This feature lets you capture a photo of a whiteboard, receipt, or diagram and add it to a document. It converts text and tables into editable content and allows retakes without losing links or history.","This feature allows you to start a short audio meeting within a document on mobile, transcribes the conversation, generates summaries, and lists action items with assigned owners.","This feature allows multiple users to add and use interactive elements like polls, timers, and calculators simultaneously, with results organized in tables and connected to notifications or tasks.","This feature collapses sections into summaries, lets users adjust the reading level, and provides options for pacing and contrast to support different reading needs.","This feature allows you to assign approvers and due dates to headings, lock approved sections, track status, reopen sections with changes, and export approval history."
com.microsoft.office.outlook,Microsoft Outlook,SOURCE3,"This feature offers short lessons and a practice space for email drafts, gives feedback on tone, clarity, and inclusivity, and tracks progress over time.","This feature allows you to invite teammates to Outlook Circles to share templates, rules, and calendars, and offers new members suggestions based on your activity.","This feature transcribes voice emails and meeting recordings into text, enhances audio quality for attachments, and offers vibration alerts and captions for silent information access.","This feature allows you to drag and drop content blocks such as agenda, availability picker, files, approvals, and polls into emails and save them for reuse.","This feature lets you test Copilot, advanced rules, and booking pages with sample data outside your mailbox, and allows you to reset or export chosen settings.","This feature displays sender verification, shared contacts, and reply patterns, and suggests nearby or event attendees for connection when traveling, with user permission.","This feature allows you to turn on Review Mode in a thread to gather upvotes, comments, and suggested edits, then creates and shares a summary message.","This feature monitors inbox activity, response times, and focus periods, enabling users to accumulate points that can be redeemed for Microsoft 365 benefits or donations.","This feature shows travel information such as flight status, gate, weather, maps, and expense rules from your calendar and suggests changes if travel plans might be impacted.","This feature identifies dial-ins, meeting IDs, and OTP codes in emails and shows them as quick actions above threads for easy access and dialing through the device or Teams."
com.microsoft.office.outlook,Microsoft Outlook,SOURCE4,"This feature identifies the best times to send emails based on recipients’ availability and past responses, can send emails automatically, and schedule reminders for unread messages.","This feature allows you to create a task and generates a message that includes a subject, action items, approval options, due dates, reminders, and escalation steps.","This feature adds a status bar to each email thread showing “On me,” “Waiting on them,” or “Blocked,” and highlights decisions, owners, and deadlines for reminders or tasks.","This feature detects file versions in an email thread, displays their differences, updates sharing permissions, and directs recipients to the latest OneDrive version.","This feature displays a heatmap of your day using meetings, context switches, travel, and time zones. It identifies focused work times and can decline low-priority invites automatically.","This feature organizes flight and hotel emails into an itinerary, offers one-tap check-in, updates gate and local time changes, adjusts meetings, and sends travel delay notifications.","This feature connects an email thread to a Teams or approved chat channel, sends chat replies as regular email summaries, and lets users set a time for the connection to end.","This feature allows you to create custom swipe actions that perform tasks such as labeling, forwarding, or scheduling emails, and use or share them across devices and widgets.","This feature allows you to queue swipes, replies, and scheduled sends while offline and automatically updates them when you reconnect to the internet.","This feature detects when an email is sent from the wrong account and suggests the correct account, signature, and sensitivity labels. It also creates and manages disposable aliases for incoming mail."
